humanGene	mouseGene
AKIRIN1	Akirin1
FAM89B	Fam89b /// Sssca1
SSSCA1	Fam89b /// Sssca1
MSH6	Msh6
ELF3	Elf3
C14orf119	1700123O20Rik
DLG3	Dlg3
NPHP1	Nphp1
RBM14-RBM4 /// RBM4	Rbm4
RBM4	Rbm4
LOC101059993 /// RBM14 /// RBM4	Rbm4
ALDOA	Aldoa
BNIP3L	Bnip3l /// Gm10480 /// LOC100044398
BRI3	Bri3
BRI3 /// FLJ30064	Bri3
KPNB1	Kpnb1
TP53INP1	Trp53inp1
RBM12	Rbm12
LY6D	Ly6d
NIF3L1	Nif3l1
COG2	Cog2
POR	Por
MTM1	Mtm1
TRPV2	Trpv2
AATK	Aatk
GABARAP	Gabarap
CHCHD1	Chchd1
PPA1	Ppa1
PPIF	Ppif
EIF4H	Eif4h
ERAP1	Erap1
UBE2E1	LOC100503235 /// Ube2e1
TLK2	Tlk2
PTOV1	Ptov1
ACAA1	Acaa1a /// Acaa1b
MRPL23	Mrpl23
SLC39A7	Slc39a7
TNFAIP8	Tnfaip8
ATP6V1D	Atp6v1d
CTGF	Ctgf
SLC25A10	Slc25a10
KCNAB2	Kcnab2
POU2AF1	Pou2af1
NR1D2	Nr1d2
B3GAT3	B3gat3
BUB1B	Bub1b
RCC1	Rcc1
UBAC1	Ubac1
EEFSEC	Eefsec
PCSK1N	Pcsk1n
SLC22A8	Slc22a8
SOX2	Sox2
HSD3B7	Hsd3b7
GTSE1	Gtse1
COX7A2	Cox7a2
ANXA2 /// NHP2L1	LOC100045968 /// LOC100862468 /// Nhp2l1
NHP2L1	LOC100045968 /// LOC100862468 /// Nhp2l1
STAM2	Stam2
FCGRT	Fcgrt
POMP	Pomp
METTL7B	Mettl7b
FOXO1	Foxo1
MRPS18A	Mrps18a
SIRPA	Sirpa
ELP4	Elp4
MSH2	Msh2
VPS53	Vps53
LOC100996816 /// VPS53	Vps53
RXRB	Rxrb
MTO1	Mto1
MFNG	Mfng
COG4	Cog4
TTC1	Ttc1
PACSIN3	Pacsin3
TBC1D8	Tbc1d8
RPL31 /// TBC1D8	Tbc1d8
HAP1	Hap1
RRS1	Rrs1
SMPD2	Smpd2
ABTB1	Abtb1
C1orf63	D4Wsu53e
TSG101	Tsg101
APOPT1 /// KLC1	Klc1
KLC1	Klc1
COMMD4	Commd4
VPS4B	Vps4b
CRAT	Crat
C1R	C1ra /// C1rb
ZBTB18	Zbtb18
SDC2	Sdc2
HSPB8	Hspb8
RASSF3	Rassf3
MAPKAPK5	Mapkapk5
CYP17A1	Cyp17a1
EFEMP2	Efemp2
CDC6	Cdc6
SPATA4	Spata4
SPO11	Spo11
SLC7A3	Slc7a3
FABP4	Fabp4
HARS	Hars
HLA-DRB1 /// HLA-DRB4 /// HLA-DRB5 /// LOC100507709 /// LOC100507714	H2-Eb1
HLA-DRB1 /// HLA-DRB3 /// HLA-DRB4 /// HLA-DRB5 /// LOC100507709 /// LOC100507714 /// LOC101060779	H2-Eb1
HLA-DRB1 /// HLA-DRB3 /// HLA-DRB4 /// HLA-DRB5 /// LOC100507709 /// LOC100507714	H2-Eb1
HLA-DRB1 /// HLA-DRB3 /// HLA-DRB4 /// LOC100507709 /// LOC100507714	H2-Eb1
HLA-DRB1 /// HLA-DRB4 /// LOC100507709 /// LOC100507714	H2-Eb1
HLA-DRB1 /// LOC100507709 /// LOC100507714	H2-Eb1
PFDN1	Pfdn1
TRIM2	Trim2
TMEM206	Tmem206
UBE2G2	Ube2g2
TRAPPC6A	Trappc6a
SAC3D1	Sac3d1
ORC6	Orc6
CUL7	Cul7
BOK	Bok
POLR1C	Polr1c
SLC37A4	Slc37a4
LCAT	Lcat
LCMT1	Lcmt1
BID	Bid
NPRL2	Nprl2
PROM2	Prom2
RHCE /// RHD	Rhd
RHD	Rhd
RHCE	Rhd
C1QTNF4	C1qtnf4
PCDH8	Pcdh8
PSMB3	Psmb3
PHB	1700071K01Rik /// Phb
SF3B14	0610009D07Rik
PSME1	Psme1
PPID	Lamp3 /// Ppid
LAMP3	Lamp3 /// Ppid
KRTCAP2	Krtcap2
PPP1R11	Ppp1r11
SLC40A1	Slc40a1
ARMC10	Armc10
C1QB	C1qb
JAGN1	Jagn1
EGR1	Egr1
ADCK3	Adck3
PTPN1	Ptpn1
GMFB	Gmfb
CYP4V2	Cyp4v3
SLC22A6	Slc22a6
QKI	Qk
BCAP29	Bcap29
LGALS2	Lgals2
ECSIT	Ecsit
SYNGR2	Syngr2
ANP32B	Anp32b
SEC61B	Sec61b
EIF4EBP2	Eif4ebp2
AKR1C4	Akr1c6
PAFAH1B1	Pafah1b1
GLG1	Glg1
ZNF346	Zfp346
RCN1	Rcn1
CHUK	Chuk
PTH1R	Pth1r
GTF2H4	Gtf2h4
ACOT7	Acot7
HSPA14	Hspa14
RRP15	Rrp15
MECR	Mecr
FTSJ1	Ftsj1
CD320	Cd320
HSPA2	Hspa2
NDUFB5	Ndufb5
DDT	Ddt
EMP3	Emp3
TRAPPC2L	Trappc2l
TPD52L2	Tpd52l2
KLC4	Klc4
TINAGL1	Tinagl1
MAN1A1	Man1a
ARL2BP	Arl2bp
GMCL1	Gmcl1
GMCL1 /// GMCL1P1	Gmcl1
MAP3K12	Map3k12
SLC6A10P /// SLC6A8	Slc6a8
SLC6A8	Slc6a8
LOC653562 /// SLC6A10P /// SLC6A8	Slc6a8
CSTF1	Cstf1
NAA10	Naa10
ZFPL1	Zfpl1
MIIP	Miip
GABRA6	Gabra6
VAV3	Vav3
DSTN	Dstn
AHCY	Ahcy /// LOC101056658
RPL22L1	Rpl22l1
MSX1	Msx1
PLEKHO1	Plekho1
MEIS2	Meis2
ANGPTL4	Angptl4
CDC25A	Cdc25a
PMP22	Pmp22
SRPK2	Srpk2
MIR3658 /// UCK2	Uck2
POLR2E	Polr2e
DSN1	Dsn1
PTPN2	Ptpn2
FAM120B	Fam120b
LPAR1	Lpar1
TUBG1	Tubg1
NFXL1	Nfxl1
MRI1	Mri1
FAM69B	Fam69b
PDGFRB	Pdgfrb
P4HA2	P4ha2
SLC6A4	Slc6a4
NTSR2	Ntsr2
NACC2	Nacc2
SLC25A14	Slc25a14
MYCN	Mycn
KRT19	Krt19
ACTR10	Actr10
ZXDC	Zxdc
CDK2AP2	Cdk2ap2
TMBIM1	Tmbim1
DUSP10	Dusp10
MBD2	Mbd2
PSIP1	Psip1
EXOSC5	Exosc5
USP2	Usp2
LZTFL1	Lztfl1
ITK	Itk
UBE2L6	Ube2l6
ATF6B	Atf6b
ATF6B /// LOC101060681 /// TNXB	Atf6b
TMEM218	Tmem218
CSNK1E	Csnk1e
CSNK1E /// LOC100996460	Csnk1e
CSNK1E /// LOC400927	Csnk1e
GALK1	Galk1
GIPC2	Gipc2
TSPAN5	Tspan5
PCSK7	Pcsk7
KIFAP3	Kifap3
DNAJA2	Dnaja2
HBB	Hbb-b1 /// Hbb-b2 /// Hbb-bs /// Hbb-bt
UBE2K	Ube2k
PSME2	Psme2
NAMPT	Nampt
DNAJB9	Dnajb9
TOMM70A	Tomm70a
LOC100129518 /// SOD2	Sod2
SOD2	Sod2
CLDN22 /// WWC2	Wwc2
WWC2	Wwc2
TMEM183A /// TMEM183B	Tmem183a
NT5C2	Nt5c2
UBA3	Uba3
ETHE1	Ethe1
KDELR2	Kdelr2
UROD	Urod
DVL2	Dvl2
AMACR /// C1QTNF3 /// C1QTNF3-AMACR	Amacr
AMACR	Amacr
SERTAD2	Sertad2
EIF2S3	Eif2s3y
C11orf1	1110032A03Rik
FAM195A	Fam195a
RBM6	Rbm6
RAB27B	Rab27b
PIM2	Pim2
MAGEL2	Magel2
CALHM2	Calhm2
FAH	Fah
TMEM123	Tmem123
CD2BP2	Cd2bp2
ARL6IP5	Arl6ip5
FBXW4	Fbxw4
MCCC1	Mccc1
CAPN1	Capn1
RALGPS2	Ralgps2
CLDN2	Cldn2
CHCHD4	Chchd4
MMP11	Mmp11
EHD3	Ehd3
PLD2	Pld2
EWSR1	Ewsr1
CETN3	Cetn3
ZYX	Zyx
AMZ2	Amz2
EIF4A3	Eif4a3 /// Gm5576
FAM192A	Fam192a
IRF7	Irf7
GPR180	Gpr180
C2orf49	AI597479
RALBP1	Ralbp1
POLM	Polm
RLIM	Rlim
PABPC1 /// RLIM	Rlim
PALMD	Palmd
NT5C	Nt5c
FRG1 /// LOC100289097 /// LOC100996779	Frg1
SPATA5	Spata5
IFT140	Ift140
MMP13	Mmp13
CEL	Cel
CCT5	Cct5
CAPZB	Capzb
U2AF2	U2af2
MBTD1	Mbtd1
PTGS2	Ptgs2
COQ5	Coq5
FKBP11	Fkbp11
CD14	Cd14
CDK9	Cdk9
WDR12	Wdr12
ENG	Eng
FAM114A1	Fam114a1
PDK4	Pdk4
SNRPA	Gm21559 /// Gm5161 /// Snrpa
MAL	Mal
TULP2	Tulp2
NKD1	Nkd1
ITPR1	Itpr1
SLC17A1	Slc17a1
MMP23A /// MMP23B	Mmp23
LYNX1	Lynx1
MAPKAP1	Mapkap1
NDUFA5	Ndufa5
HM13	H13
PLEKHA2	Plekha2
LRG1	Lrg1
TNFRSF1A	Tnfrsf1a
HS6ST1	Hs6st1
AKR7A2	Akr7a5
MTA1	Mta1
ATF1	Atf1 /// Gm1862
ITPR3	Itpr3
ITPR3 /// LOC101060688	Itpr3
EBPL	Ebpl
NEK2	Nek2
SMPDL3B	Smpdl3b
FZD6	Fzd6
RCOR2	Rcor2
MVD	Mvd
CHRD	Chrd
SPEG	Speg
TYK2	Tyk2
DMD	Dmd
PKM	Pkm
TOB2	Tob2
CRIP2	Crip2
DKK3	Dkk3
LSM7	Lsm7
CFB	C2 /// Cfb
C2	C2 /// Cfb
GRIPAP1	Gripap1
ACOT13	Acot13
INO80	Gm10029 /// Gm10237 /// Gm11810 /// Gm14279 /// Ino80 /// LOC100862595 /// Rpl35a
RPL35A	Gm10029 /// Gm10237 /// Gm11810 /// Gm14279 /// Ino80 /// LOC100862595 /// Rpl35a
DBC1	Dbc1
PVRL3	Pvrl3
GRPEL1	Grpel1
ZCCHC7	Zcchc7
DOHH	Dohh
PSRC1	Psrc1
MAST2	Mast2
BTRC	Btrc
ANAPC11	Anapc11
CAV2	Cav2
ERCC1	Ercc1
SLC23A2	Slc23a2
ARL6	Arl6
RFX2	Rfx2
RASA4 /// RASA4B /// RASA4CP	Rasa4
RASA4 /// RASA4B	Rasa4
STK19	Stk19
SULT2B1	Sult2b1
SYTL4	Sytl4
EPB42	Epb4.2
DYNLL1	Dynll1
GLRX3	Glrx3
PPP1R2	Ppp1r2
FXYD6	Fxyd6
EMC7	Emc7
PYCARD	Pycard
BLOC1S6	Bloc1s6
SNRPA1	Snrpa1
SIL1	Sil1
PEG3	Peg3
EMD	Emd
SORBS1	Sorbs1
MFAP2	Mfap2
MLH1	Mlh1
ASB3 /// GPR75-ASB3	Asb3
ASB3	Asb3
RHCG	Rhcg
EEF1G /// MIR3654	Eef1g /// LOC101055956
PPP2CA	Ppp2ca
NDUFA2	Ndufa2
HSD17B4	Hsd17b4
TFF3	Tff3
PELI1	Peli1
TUBA4A	Tuba4a
CADM1	Cadm1
IQGAP1	Iqgap1
C1QA	C1qa
ENTPD5	Entpd5
NPEPPS	Npepps
LOC100510707 /// LOC101060303 /// LOC101060321 /// LOC101060351 /// LOC101060367 /// LOC101060376 /// LOC101060389 /// LOC101060403 /// LOC101060421 /// LOC101060440 /// LOC101060471 /// LOC101060489 /// LOC101060506 /// LOC101060522 /// LOC440434 /// NPEPPS /// TBC1D3 /// TBC1D3F	Npepps
LOC101060440 /// LOC101060471 /// LOC101060522 /// LOC440434 /// NPEPPS /// TBC1D3	Npepps
MED31	Med31
BEX2	Bex2
GPC1	Gpc1
GPN1	Gpn1
IL16	Il16
SLC7A7	Slc7a7
FAM132A	Fam132a
KLF4	Klf4
PODXL	Podxl
SLC9A1	Slc9a1
RRAS2	Rras2
GAS6	Gas6
RAI14	Rai14
ELOVL6	Elovl6
STARD3	Stard3
SERTAD1	Sertad1
FBXL14	Fbxl14
F3	F3
JUN	Jun
PRKCI	Prkci
NAP1L5	Nap1l5
CUZD1	Cuzd1
SEPT3	Sept3
SLC6A3	Slc6a3
KCNA1	Kcna1
COX6A1	Cox6a1
CCND1	Ccnd1
S100A1	S100a1
GNMT	Gnmt
GRINA	Grina
IER3IP1	Ier3ip1
LOC100630923 /// PRKRIP1	Prkrip1
SRGN	Srgn
RNASEH2C	Rnaseh2c
GNG3	Gng3
FMO1	Fmo1
CDR2	Cdr2
SPHK2	Sphk2
GNB1	Gnb1
LYPLA2	Lypla2
GPD2	Gpd2
LARGE	Large
XRCC6	Xrcc6
NT5C1B-RDH14 /// RDH14	Rdh14
CD248	Cd248
ARID1A	Arid1a
DNAJC12	Dnajc12
PEX3	Pex3
FAM151A	Fam151a
E2F5	E2f5
NDC80	Ndc80
SLC12A4	Slc12a4
TCF21	Tcf21
FAM207A	Fam207a
ACOT8	Acot8
TACC3	Tacc3
LOC101060363 /// PPIA	Gm9234 /// Ppia
PPIA	Gm9234 /// Ppia
FAU	Fau
CUL4B	Cul4b
TGFB3	Tgfb3
GNPAT	Gnpat
CKS2	Cks2
CAP1	Cap1
LAMTOR1	Lamtor1
TNNC2	Tnnc2
FNTA	Fnta
RGS5	Rgs5
TADA3	Tada3
NIT1	Nit1
APOBEC3B	Apobec3
C5orf30	D1Ertd622e
MYH9	Myh9
PPCS	Ppcs
CCDC30 /// PPCS	Ppcs
IFT46	Ift46
ATP13A1	Atp13a1
FBXW5	Fbxw5
C17orf103	Gm16515
PPP2R3C	Ppp2r3c
FBXO9	Fbxo9
RAMP1	Ramp1
NFKBIZ	Nfkbiz
IBSP	Ibsp
SHD	Shd
FOSL1	Fosl1
NPY2R	Npy2r
CTSB	Ctsb
BMI1 /// COMMD3-BMI1	Bmi1
CP	Cp
SERPINF2	Serpinf2
TIMM10	Timm10
TGM2	Tgm2
FBXO6	Fbxo6
TSPAN7	Tspan7
RFC2	Rfc2
CALB1	Calb1
IL11RA	Gm13305 /// Gm2002 /// Il11ra1 /// Il11ra2 /// LOC100861969
GMNN	Gmnn
CYB561	Cyb561
RNF19A	Rnf19a
VPS4A	Vps4a
LYAR	Lyar
EVI5	Evi5
SSX2IP	Ssx2ip
LSM10	Lsm10
DDIT3	Ddit3
PLAGL2	Plagl2
NFE2L3	Nfe2l3
EFNA2	Efna2
FBXO32	Fbxo32
PLEK	Plek
CNIH2	Cnih2
HAND1	Hand1
PCBP3	Pcbp3
AP3M2	Ap3m2
RAB33A	Rab33a
SRP9	Srp9
ITGB5	Itgb5
FBXO25	Fbxo25
ZMAT2	Zmat2
SLC35A1	Slc35a1
ELF1	Elf1
HELLS	Hells
RPS6KA2	Rps6ka2
FLOT2	Flot2
TRPV4	Trpv4
IL2RB	Il2rb
SART3	Sart3
GSG1	Gsg1
CLN3	Cln3
FAP	Fap
PLAC1	Plac1
ATAD1	Atad1
FABP1	Fabp1
MIR4746 /// UBXN6	Ubxn6
FYN	Fyn
SFXN1	Sfxn1
APOC1	Apoc1
EIF4EBP1	Eif4ebp1
MED7	Med7
ABHD5	Abhd5
CTNNBIP1	Ctnnbip1
NCALD	Ncald
HIST1H2BC /// HIST1H2BE /// HIST1H2BF /// HIST1H2BG /// HIST1H2BI /// NCALD	Ncald
MPG	Mpg
MMADHC	Mmadhc
OTUB2	Otub2
TRPC3	Trpc3
GMPPA	Gmppa
SELENBP1	Selenbp1
DHODH	Dhodh
UTP3	Utp3
SLC11A2	Slc11a2
NUP210	Nup210
TIMELESS	Timeless
GALNT3	Galnt3
CYP27A1	Cyp27a1
PTGES2	Ptges2
MTOR	Mtor
TUSC2	Tusc2
GKAP1	Gkap1
MEOX1	Meox1
B9D1	B9d1
CD28	Cd28
FXR1	Fxr1
CD276	Cd276
SLC15A2	Slc15a2
RGS1	Rgs1
PER2	Per2
CAMK1	Camk1
CALR	Calr
COX6A2	Cox6a2
RPL13A /// SNORD32A /// SNORD33 /// SNORD34 /// SNORD35A	Rpl13a
RPL13A /// RPL13AP5 /// SNORD32A /// SNORD33 /// SNORD34 /// SNORD35A	Rpl13a
RPL13A /// RPL13AP5 /// RPL13AP6 /// SNORD32A /// SNORD33 /// SNORD34 /// SNORD35A	Rpl13a
UBE2A	Ube2a
APOA5	Apoa5
TMEM37	Tmem37
IER5	Ier5
CKM	Ckm
RPL11	Rpl11
ST6GALNAC2	St6galnac2
ITIH2	Itih2
GADD45GIP1	Gadd45gip1
RAC2	Rac2
NFATC1	Nfatc1
SLC12A2	Slc12a2
NAB1	Nab1
CXCR7	Cxcr7
LOC100996724 /// LOC100996761 /// LOC101060291 /// LOC101060344 /// LOC101060353 /// LOC101060463 /// LOC101060582 /// LOC728802 /// PDE4DIP	Pde4dip
PDE4DIP	Pde4dip
LOC101060353 /// PDE4DIP	Pde4dip
LOC100996724 /// LOC100996761 /// LOC101060291 /// LOC101060344 /// LOC101060353 /// LOC101060456 /// LOC101060463 /// LOC101060582 /// LOC653513 /// LOC728802 /// PDE4DIP	Pde4dip
LIMK1	Limk1
SUPT6H	Supt6
PRODH	Prodh
MKNK1	Mknk1
ATP6V0A1	Atp6v0a1
SOD3	Sod3
SPA17	Spa17
SLC6A9	Slc6a9
HMG20B	Hmg20b
LEFTY1	Lefty1
SLC22A4	Slc22a4
CD79B	Cd79b
GALNTL5	Galntl5
ALDH1A3	Aldh1a3
RSPH1	Rsph1
SSPN	Sspn
SNX5	Snx5
CDKN1C	Cdkn1c
CYP2C8	Cyp2c29
TBCA	Tbca
PVALB	Pvalb
SDC4	Sdc4
SRRT	Srrt
MYBL2	Mybl2
DNAJC2	Dnajc2
TBRG4	Tbrg4
SNORA5B /// TBRG4	Tbrg4
VPS29	Vps29
RDM1	Rdm1
ELK3	Elk3
NDRG3	Ndrg3
CPSF1 /// MIR1234 /// MIR939	Cpsf1
DNTTIP1	Dnttip1
PTER	Pter
RTN4IP1	Rtn4ip1
ABHD12	Abhd12
TIMM44	Timm44
SCLY	Scly
SLC4A10	Slc4a10
GRB14	Grb14
GOLGA4	Golga4
MDN1	Mdn1
PTPRO	Ptpro
OPN3	Opn3
MMP24	Mmp24
GFI1	Gfi1
KCNA5	Kcna5
NUDT21	Nudt21
DIABLO	Diablo
THUMPD3	Thumpd3
ANKFY1	Ankfy1
LGALS12	Lgals12
FAM20C	Fam20c
PDZK1IP1	Pdzk1ip1
PRKAG1	Prkag1
BIN3	Bin3
DRG2	Drg2
GAB1	Gab1
SOAT1	Soat1
GTF2F1	Gtf2f1
RAB38	Rab38
PPP1R14C	Ppp1r14c
HNMT	Hnmt
PVRL2	Pvrl2
ARHGAP6	Arhgap6
OTUB1	Otub1
NAGLU	Naglu
N4BP2L1	N4bp2l1
SYT3	Syt3
CYP46A1	Cyp46a1
METTL9	Mettl9
EIF2S2	Eif2s2
HBA1 /// HBA2	Hba-a1 /// Hba-a2
GOT2	Got2
TYR	Tyr
EIF3G	Eif3g
SAP30	Sap30
POLR2J	Polr2j
LAPTM5	Laptm5
PGLS	Pgls
UBE2J1	Ube2j1
ALYREF	Alyref
SSSCA1	Sssca1
GATC /// SRSF9	Srsf9
MBD3	Mbd3
MYH6	Myh6
MYH6 /// MYH7	Myh6
EXT1	Ext1
PQBP1	Pqbp1
ANXA8 /// ANXA8L1	Anxa8
ANXA8 /// ANXA8L1 /// ANXA8L2	Anxa8
ANXA8 /// LOC100996760 /// LOC101060462	Anxa8
RNF146	Rnf146
AKAP8L	Akap8l
SMC6	Smc6
MRPS31	Mrps31
RAB25	Rab25
MED11	Med11
CDC37L1	Cdc37l1
PYGL	Pygl
DMAP1	Dmap1
CLK2	Clk2
RALB	Ralb
CPN1	Cpn1
CPLX1	Cplx1
FOXM1	Foxm1
TJP1	Tjp1
SLC25A37	Slc25a37
STK10	Stk10
CORO1C	Coro1c
PKD2	Pkd2
TOPORS	Topors
LSP1	Lsp1
UNC13B	Unc13b
ITGA2B	Itga2b
NR0B1	Nr0b1
APOA4	Apoa4
RPL8	Rpl8
SSR1	Ssr1
ACTG1P4 /// AMY1A /// AMY1B /// AMY1C /// AMY2A /// AMY2B	Amy1
CYB5B	Cyb5b /// LOC100047577
PNPLA8	Pnpla8
PSMC6	Psmc6
GRHPR	Grhpr
NANS	Nans
LOC90784 /// POLR1A	Polr1a
POLR1A	Polr1a
AZGP1	Azgp1
AZGP1 /// AZGP1P1	Azgp1
PTGR1	Ptgr1
NTPCR	Ntpcr
CERS4	Cers4
ALS2	Als2
PLA1A	Pla1a
RGS19	Rgs19
DKKL1	Dkkl1
SNCG	Sncg
CCL11	Ccl11
DOK1	Dok1
ZNF638 /// ZNF638-IT1	Zfml
ZNF638	Zfml
ZMYM3	Zmym3
CHL1	Chl1
GPS2	Gps2
C1orf172	1810019J16Rik
ATP6V1G2	Atp6v1g2
PARP2	Parp2
PPFIBP2	Ppfibp2
SPTSSB	Sptssb
RASGRP2	Rasgrp2
XPNPEP2	Xpnpep2
POPDC2	Popdc2
UFSP1	Ufsp1
C1orf68	2310050C09Rik
SLC22A18	Slc22a18
PACSIN2	Kcnb1 /// Pacsin2
KCNB1	Kcnb1 /// Pacsin2
SLC24A6	Slc24a6
LAMB3	Lamb3
IKBKE	Ikbke
PLA2G5	Pla2g5
SERINC3	Serinc3
WWTR1	Wwtr1
TOR1B	Tor1b
GCAT	Galr3 /// Gcat
GALR3	Galr3 /// Gcat
ESD	Esd /// Gm2904
AKR1E2	Akr1e1
NGLY1	Ngly1
AQP8	Aqp8
SMC1A	Smc1a
ZC3H10	Zc3h10
SYNJ2BP	Synj2bp
SYNJ2BP /// SYNJ2BP-COX16	Synj2bp
GPX7	Gpx7
PHLDA2	Phlda2
CLDN5	Cldn5
CEP19	Cep19
PXMP2	Pxmp2
CAMLG	Caml
EPS8L2	Eps8l2
MED4	Med4
CLDN6	Cldn6
ULK2	Ulk2
ZNF704	Zfp704
RB1	Rb1
CXCL13	Cxcl13
MAP2K5	Map2k5
FBXL15	Fbxl15
RELB	Relb
MMAA	Mmaa
RASAL1	Rasal1
GAS7	Gas7
LOC100130872 /// SPON2	Spon2
CCNC	Ccnc
FAM181B	Fam181b
SPATA19	Spata19
PGK1	Pgk1
TNFAIP1	Tnfaip1
CFD	Cfd
CTSZ	Ctsz
HSD17B7	Hsd17b7
FHL1	Fhl1
PWP1	Pwp1
TMEM9B	Tmem9b
DDX50	Ddx50
FCGR1A	Fcgr1
FCGR1A /// FCGR1B /// FCGR1C	Fcgr1
EEPD1	Eepd1
E2F1	E2f1
NENF	Nenf
G6PC	G6pc
SLC39A3	Slc39a3
GSTT2	Gstt2
SLC16A6	Slc16a6
MAPT	Mapt
INTS5	Ints5
TRIM13	Trim13
KCNRG /// TRIM13	Trim13
APOBEC2	Apobec2
PDXP /// SH3BP1	Pdxp
SPSB3	Spsb3
SIRT3	Sirt3
SFXN3	Sfxn3
GPR97	Gpr97
TMEM54 /// UQCR11	Tmem54
TMEM54	Tmem54
BRMS1	Brms1
GZMA	Gzma
VLDLR	Vldlr
ICA1	Ica1
SLC19A2	Slc19a2
DFNA5	Dfna5
DCLRE1A	Dclre1a
CDV3	1700001F09Rik /// Gm10375 /// Gm10377 /// Gm3676
UBE2L3	Gm10015 /// Gm10145 /// Gm10705 /// Gm5858 /// LOC100045901 /// Ube2l3
SERPINC1	Serpinc1
CCNA2	Ccna2
EMC6	Emc6
GINS4	Gins4
RAP2A /// RAP2B	Rap2b
RAP2B	Rap2b
TIMM10B	Timm10b
CNN1	Cnn1
MRPL11	Mrpl11
PPP1R7	Ppp1r7
AMN	Amn
PBDC1	Pbdc1
KBTBD4	Kbtbd4
KBTBD4 /// PTPMT1	Kbtbd4
PAK3	Pak3
CCL22	Ccl22
NCAPG2	Ncapg2
DDX19A	Ddx19a
DDX19A /// DDX19B	Ddx19a
PDLIM4	Pdlim4
SLC7A8	Slc7a8
NAB2	Nab2
NDST2	Ndst2
IL18	Il18
IGFBP6	Igfbp6
DNAJC4	Dnajc4
MKRN2	Mkrn2
DACT1	Dact1
RAD51AP1	Rad51ap1
NANP	Nanp
LYPD3	Lypd3
GNG4	Gng4
POU5F1 /// POU5F1B /// POU5F1P3 /// POU5F1P4	Pou5f1
ABHD3	Abhd3
PCNA	Pcna
ILF2	Ilf2
APOA2	Apoa2
ENO3	Eno3
CYP2J2	Cyp2j6
FAM3C	Fam3c
SST	Sst
CCDC71	Ccdc71
CIDEA	Cidea
TSPAN1	Tspan1
PDLIM7	Pdlim7
CPEB1	Cpeb1
GHR	Ghr
PLTP	Pltp
AP3D1	Ap3d1
PLEKHA1	Plekha1
MRPL39	Mrpl39
MMS19	Mms19
MBD1	Mbd1
FBXO31	Fbxo31
ATP5S	Atp5s
NRM	Nrm
POP5	Pop5
ITIH1	Itih1
KPNA4	Kpna4
ADA	Ada
EIF4E3	Eif4e3
TNMD	Tnmd
INSIG2	Insig2
UBE2V2	Ube2v2
NRARP	Nrarp
BTD	Btd
TSSK1B	Tssk1
PPP1R14D	Ppp1r14d
DIO1	Dio1
PTPN22	Ptpn22
NGB	Ngb
PTGES3	Gm9769 /// LOC100048119 /// Ptges3
ITM2B	Itm2b
HIGD2A	Higd2a
RGCC	Rgcc
TMEM176B	Tmem176b
SDHB	LOC101056348 /// Sdhb
ZC3H18	Zc3h18
PAXBP1	Paxbp1
SH3GLB1	Sh3glb1
B4GALT1	B4galt1
PUM2	Pum2
CPD	Cpd
C4A /// C4B /// C4B_2	C4b /// LOC675521
NAA15	Naa15
BHLHE40	Bhlhe40
EXO1	Exo1
DCT	Dct
FAIM	Faim
SLCO3A1	Slco3a1
MYO9B	Myo9b
ITFG2 /// LOC100507424	Itfg2
ITFG2	Itfg2
ZNF18	Zkscan6
MRPS9	Mrps9
DUSP19	Dusp19
RABL3	Rabl3
TMEM186	Tmem186
ABCC5	Abcc5
HMGXB3	Hmgxb3
INPP1	Inpp1
NAP1L2	Nap1l2
NEUROD6	Neurod6
KIAA1143	1110059G10Rik
LTBP3	Ltbp3
GPLD1	Gpld1
EPHB6	Ephb6
MVK	Mvk
SNCB	Sncb
NEUROD4	Neurod4
TIAM1	Tiam1
ELTD1	Eltd1
MAPK7	Mapk7
LTBP2	Ltbp2
EEF1A2	Eef1a2
KERA	Kera
TFPT	Tfpt
RAG2	Rag2
CFL2	Cfl2
NDUFA10	Ndufa10
APOC2 /// APOC4 /// APOC4-APOC2	Apoc2
APOC2	Apoc2
CDYL	Cdyl
HIST1H2BC /// HIST1H2BE /// HIST1H2BF /// HIST1H2BG /// HIST1H2BI	Hist1h2bc /// Hist1h2be /// Hist1h2bg
HIST1H2BC /// HIST1H2BE /// HIST1H2BF /// HIST1H2BG /// HIST1H2BI /// NCALD	Hist1h2bc /// Hist1h2be /// Hist1h2bg
HIST2H2BE	Hist1h2bc /// Hist1h2be /// Hist1h2bg
HIST1H2BC	Hist1h2bc /// Hist1h2be /// Hist1h2bg
ST6GALNAC4	St6galnac4
ST14	St14
TRIM21	Trim21
PSME3	Psme3
B4GALT2	B4galt2
DNAJC30	Dnajc30
NRP1	Nrp1
PRKCZ	Prkcz
PPP1R14A	Ppp1r14a
UFD1L	Ufd1l
STX8	Stx8
PLVAP	Plvap
TFCP2L1	Tfcp2l1
TRIP10	Trip10
EGF	Egf
CA4	Car4
SMPX	Smpx
DOK3	Dok3
CRLF2	Crlf2
ADCY4	Adcy4
TNFRSF1B	Tnfrsf1b
RTN3	Rtn3
HES1	Hes1
SLC12A9	Slc12a9
NRIP3	Nrip3
STMN4	Stmn4
HEY2	Hey2
TCEA2	Tcea2
RTKN2	Rtkn2
GSPT2	Gspt2
INPP5D	Inpp5d
MRPL10	Mrpl10
CYP2D6	Cyp2d10
